f_name,a_name,title,lyrics
angry_all/50 Ft Queenie.mp3,PJ Harvey,50 Ft Queenie,"Hey I'm one big queen  No one can stop me Red light red green Sat back, I'm watching I'm number one  Second to no one No sweat I'm clean  Nothing can touch me  I'll tell you my name  F U C K 50ft queenie  Force ten hurricane Biggest woman  I could have ten sons Ten gods  Ten queens Ten foot and rising  Hey I'm the king of the world You ought to hear my song You come on measure me I'm twenty inches long  Glory glory  Lay it all on me 50ft queenie  50 and rising You bend over  Cassanova No sweat I'm clean Nothing can touch me  Hey I'm the king of the world You ought to hear my song You come on measure me I'm twenty inches long  Hey I'm king of the world You ought to hear my song You come on measure me I'm thirty inches long  Hey I'm king of the world You ought to hear my song You come on measure me I'm forty inches long  Hey I'm king of the world You ought to hear my song You come on measure me I'm fifty inches long  50ft queenie 50ft queenie"
angry_all/A Bad Dream.mp3,Keane,A Bad Dream,"Why do I have to fly over every town up and down the line? I'll die in the clouds above and you that I defend I do not love  I wake up, it's a bad dream, no one on my side I was fighting, but I just feel too tired to be fighting Guess I'm not the fighting kind  Where will I meet my fate? Baby, I'm a man and I was born to hate And when will I meet my end? In a better time you could be my friend  I wake up, it's a bad dream, no one on my side I was fighting, but I just feel too tired to be fighting Guess I'm not the fighting kind Wouldn't mind it if you were by my side But you're long gone, yeah you're long gone now  Where do we go? I don't even know my strange old face And I'm thinking about those days And I'm thinking about those days  I wake up, it's a bad dream, no one on my side I was fighting, but I just feel too tired to be fighting Guess I'm not the fighting kind Wouldn't mind it if you were by my side But you're long gone, yeah you're long gone now  Yeah"
angry_all/Agenda Suicide (Jagz Kooner Remix).mp3,The Faint,Agenda Suicide (Jagz Kooner Re,"You could follow logic Or contest it all The work solution makes the common house a home  The element of progress That you mention is gone It de-evolved to something you were headed toward  As I lay to die the things I think Did I waste my time, I think I did I worked for life  All we want are just pretty little homes Our work makes pretty little homes  Like a cast shadow Like a fathers dream Have a cut out son What's a worse disease To get that pretty little home  As I lay to die the things I think I don't want to regret what I did- and work for life  All we want are just pretty little homes Our work makes pretty little homes  Agenda suicide The drones work hard before they die And give up on pretty little homes  (Like a cast shadow) Our work makes pretty little homes Our work makes pretty little homes Agenda suicide, the drones work hard before they die And give up on pretty little homes"
angry_all/Alternative Ulster.mp3,Stiff Little Fingers,Alternative Ulster,"There's nothin' for us in Belfast The Pound's old and that's a pity OK, so there's the Trident in Bangor And then you walk back to the city We ain't got nothin' but they don't really care They don't even know you know They just want money We can take it or leave it What we need  Is an alternative Ulster Grab it and change it it's yours Get an alternative Ulster Ignore the bores and their laws Get an alternative Ulster Be an anti-security force An alternative Ulster Alter your native land  Take a look where you're livin' You got the army on the street And the RUC dog of repression Is barking at your feet Is this the kinda place you wanna live? Is this where you wanna be? Is this the only life we're gonna have? What we need  Is an alternative Ulster Grab it and change it it's yours Get an alternative Ulster Ignore the bores and their laws Get an alternative Ulster Be an anti-security force An alternative Ulster Alter your native land  They say they're a part of you And that's not true you know They say they got control of you And that's a lie you know They say you'll never be Free free free  Alternative Ulster Alternative Ulster Alternative Ulster Alternative Ulster  (Go and get it now)"
angry_all/An Ode To No One.mp3,Smashing Pumpkins,Fuck You (An Ode To No One),"I'm never coming back I'm never giving in I'll never be the shine in your spit I disconnect the act I disconnect the dots I disconnect the me in me  You're mistaken It's you that's faking, living, breathing, dying too This message is for anyone who dares to hear a fool  You can't bring me back You can't bring me back 'cause I give it all back to you Through sacred alleys, the living wrecks, yeah, wreak their havoc upon this world The disenchanted, the romantics The body and face and soul of you is gone down that deep black hole  Destroy the mind, destroy the body but you cannot destroy the heart Destroy the mind, destroy the body but you cannot destroy the heart And you, you make it so I need to disconnect And you make it so real, I don't need your love to disconnect  To runaround kids in get-go cars With vaseline afterbirths and neon coughs Galaxies full of nobodies giving us the farewell runarounds And I took a Virgin Mary axe to his sweet baby Jane Lost my innocence to a no-good girl Scratch my face with anvil hands And coil my tongue around a bumblebee mouth  And I give it all back to you I give it all back to you, yeah I give it all back to you And for you  No way, I don't need it, I don't need your love to disconnect And you make it so real, I don't need your love to disconnect  No way, no way, no way, yeah yeah, to disconnect And you make it so real, I don't need your love to disconnect No way, no way, no way, yeah yeah, to disconnect, yeah"
angry_all/Animal Instinct.mp3,The Cranberries,Animal Instinct,"Suddenly something has happened to me As I was having my cup of tea Suddenly I was feeling depressed I was utterly and totally stressed Do you know you made me cry Do you know you made me die  And the thing that gets to me (...Thing that gets to me) Is you'll never really see (..Never really see) And the thing that freaks me out (...Thing that freaks me out) Is I'll always be in doubt (...Always be in...)  It is a lovely thing that we have It is a lovely thing that we It is a lovely thing The animal The animal instinct  So take my hands and come with me We will change reality So take my hands and we will pray They won't take you away They will never make me cry, no They will never make me die  And the thing that gets to me (...Thing that gets to me) Is you'll never really see (..Never really see) And the thing that freaks me out (...Thing that freaks me out) Is I'll always be in doubt (...Always be in...)  The animal The animal The animal instinct to me  It's the animal The animal The animal instinct to me  It's the animal It's the animal It's the animal instinct to me  It's the animal It's the animal It's the animal instinct to me  The animal The animal The animal instinct to me  It's the animal It's the animal The animal instinct to me"
angry_all/Are You Dead Yet.mp3,Children of Bodom,Are You Dead Yet,
angry_all/Behind the curtains of night- phantasmagoria.mp3,DIMMU BORGIR,Behind the curtains of night-,
angry_all/Black And Blue.mp3,Jessica Vale,Black And Blue,
angry_all/Bloodwork.mp3,Living Sacrifice,Bloodwork,"A simple test (probing) Probing loss (looking) Looking for a vein (tapping)  Tapping on a grave they call their own  I desire I invite this process Injection begin  Begin, break the skin Salvation's quickly driven in  Pride in fracture In subjection  A new supply running red with purpose Nothing less than flawless Injection flawless Injection  Begin, break the skin Salvation's quickly driven in  Begin, break the skin Salvation's quickly driven in  Begin, break the skin Salvation's quickly driven in  Begin break the skin Break the skin Break  Systematic in possession Igniting all within Running red with purpose Nothing less than  Flawless in design Flawless in design Flawless in design Flawless in design"
