mxm_tid,a_name,title
2120310,Eagles of Death Metal,Already Died
8320737,Casiotone for the Painfully Alone,You Were Alone
2814320,T.I.,Intro
4554187,Pat Benatar,Little Paradise
2776924,A Life Once Lost,The Change Came Suddenly
3732608,Marvin Gaye,Love for Sale
5453442,Sun Eats Hours,The Level
1338105,Rusted Root,Send Me On My Way
3532574,Jimmy Nail,Can't Hold On
8449008,UFO,No Place to Run
8652757,Soundgarden,Gun
909637,Kingston Wall,When Something Old Dies
2641803,Sister Sledge,Love Don't You Go Through No Changes On Me
4814185,Patrick Saint-Eloi,H2O
2903703,Clann Zú,One Bedroom Apartment
11146877,Go West,I Want to Hear It From You
2047050,Shane MacGowan and The Popes,Come to the Bower
8625024,Duderstadt & Kirsty Hawkshaw,Beatitude
4459682,Larry the Cable Guy,The First Queer Santy Claus
4999993,The Violet Burning,Blown Away
6975591,Billy Bragg,Sing Their Souls Back Home
8234489,Jimmy Nail,Love Don't Live Here Anymore
8282441,Radiohead,Nothing Touches Me
8678142,Buster Brown,Sugar Babe
2754598,Little River Band,Help Is on Its Way
8959495,Dee Clark,Nobody but You
3009780,Oingo Boingo,I'm So Bad
6256915,*shels,Atoll
3909154,Claudia Church,Lost In A Feeling
1592680,Jonah33,Beautiful
2533419,The Band,4% Pantomime
6086430,Handsome Furs,Dead + Rural
2851450,Cheap Trick,Stop This Game
556557,Blind Melon,All That I Need
1010755,Nicole C. Mullen,Homemade
1087195,Sir Mix-A-Lot,What's Real
4353285,Tree,Try
8747566,Anjulie,Some Dumb Girl
1310614,Lauryn Hill,Selah
1986948,Kataklysm,As I Slither
8369125,Noisettes,Don't Upset the Rhythm (Go Baby Go)
8817111,Tides of Man,Not My Love
3583697,Foo Fighters,Still
1266776,Molly Hatchet,Dreams of Life
4005943,Underground Kingz,Pocket Full of Stones
3204635,Matisyahu,Warrior
3232155,Emilíana Torrini,Heartstopper
1878897,Leatherface,Do the Right Thing
4111905,Agathodaimon,Light Reborn
7512404,Busta Rhymes,We Made It (feat. Linkin Park) (amended version)
1757744,Audio Two,Giz Starts Buggin'
4412168,Charley Pride,All I Have to Offer You Is Me
3430400,Loudness,Lonely Player
1025270,Louis Armstrong,Jeepers Creepers
7462860,Barbara Mason,"Oh, How It Hurts"
1052902,Nick Lowe,Withered on the Vine
6553022,Lofofora,Mémoire de singes
