mxm_tid,a_name,title,mood
5454740,The Rapture,First Gear,0
682843,Joan Jett and the Blackhearts,Back It Up,1
3362918,Jamie O'Neal,When Did You Know,4
1149404,Aerosmith,Joanie's Butterfly,1
5349777,George Jones,Accidentally on Purpose,3
1124849,Edguy,The Kingdom,1
3604460,Bonnie Tyler,It's a Heartache,2
3802561,Giorgia,Strano il mio destino,4
4424382,Head East,Sands of Time,1
633694,Lucky Dube,Together As One,3
6774810,Mudvayne,King of Pain,1
4268675,Trijntje Oosterhuis,See You as I Do,0
6874452,Chixdiggit!,Shadowy Bangers From a Shadowy Duplex,0
738802,Annie Lennox,Why,2
7653988,Queen Latifah,"Big, Blonde and Beautiful",0
8253812,Grave Digger,My Blood Will Live Forever,1
5494036,Saosin,Sleepers,1
4065816,The Raveonettes,Somewhere in Texas,3
632526,Alvin Youngblood Hart,Pony Blues,3
2297222,Hellbillies,Gamle Bry'n,4
7616485,Steve Lawrence,Party Doll,0
1203746,Jon Anderson,Heart of the Matter,0
8718779,The Bobby Fuller Four,I Fought the Law,1
1683313,Colin James,Leading Me On,0
1028322,The Reunion Show,Too Much,0
906750,Nappy Roots,My Ride,1
1049570,Flowing Tears,Merlin,2
1068950,Disturbing Tha Peace,Big Chain Records (skit),1
1089174,Tom Verlaine,Kingdom Come,2
2999791,Jane Siberry,The Lobby,1
1364026,Melissa Ferrick,Wonder Why,3
8500101,So Many Dynamos,New Bones,1
7792442,will.i.am,She's a Star,0
8560363,Building 429,Not Gonna Let You Down,0
5224827,Hypocrisy,Deathrow (No Regrets),1
3706342,Royal Gigolos,Happy Song,0
8534640,Hank Snow,Your Little Band of Gold,3
887872,Laura Cantrell,Queen of the Coast,2
3258994,It's a Beautiful Day,Girl With No Eyes,3
2977356,King Missile,Martin Scorsese (LP Version),1
3843732,Betzefer,Split,4
1436978,The Meteors,In the Cards,0
7363474,John Mayer,I Don't Trust Myself (With Loving You),2
4703775,Fonky Family,Le quartier,4
9845710,War of Ages,The Fallen,1
1630363,MU330,Since the Short-long's Gone,0
9488475,Daryl Hall,Love Revelation,0
7093090,Tristan Prettyman,California Girl,3
5168553,Archive,Veins,4
3626543,Steve Miller Band,Don't Let Nobody Turn You Around,0
8467809,Beck,Outcome,2
7256676,mc chris,Falynn,1
3311226,Aiden,Pledge Resistance,1
2129792,Madvillain,Rainbows,1
7954126,City and Colour,The Girl,0
3794094,The Clash,Up in Heaven (Not Only Here),0
6612555,Dick Haymes,I Wish I Knew,1
4928267,Orson,Jessie,0
1103985,The House of Love,Beatles and the Stones,0
2277806,A Jealousy Issue,Psychology of Optional Experience,4
3600412,The Divine Comedy,Timestretched,0
956256,Karan Casey,You Brought Me Up,3
8927084,Major Lazer,Keep It Goin' Louder (feat. Nina Sky & Ricky Blaze),0
1313650,The Roches,Hammond Song,2
7114348,Ihsahn,Misanthrope,1
6533961,Ana Belén,Qué malo eres,4
2447728,New York Dolls,Don't Start Me Talking,1
3979197,The Benjamin Gate,Lift Me Up,0
8462835,Jacques Dutronc,J'comprends pas,4
4228817,Thirsty Merc,Like Snow,4
1146091,Nesian Mystik,A Brief Reflection,3
1385659,The Flower Kings,Solitary Shell,3
764749,John Michael Talbot,Be Not Afraid,3
9436992,Miley Cyrus,Obsessed,0
1533480,Zhané,For a Reason,4
6586618,Korn,Break Some Off,1
573306,Jerry's Kids,Build Me A Bomb,1
6523177,Jeremy Fisher,Scar That Never Heals,2
2006888,Damien Dempsey,Apple of My Eye,2
8345683,Mario Lanza,Silent Night,2
4549991,Man Man,Van Helsing Boombox,1
7876231,Above the Golden State,The Haunting,2
6968833,We Are Scientists,"Nobody Move, Nobody Get Hurt",0
3712444,Gorerotted,Horrorday in Haiti,1
3126851,New Edition,Feelin' It,0
2230280,Y & T,Don't Wanna Lose,1
3443608,Desperado,Csak egy perc,0
8102150,Kristy Lee Cook,Baby Believe,3
2090288,The Roches,You (Make My Life Come True),4
3141556,Declan Galbraith,Amazing Grace,2
8738925,Oxmo Puccino,Quand j'arrive,4
5153040,Less Than Jake,The Rest of My Life,1
7007481,Abrasive Wheels,Burn 'em Down,1
1558111,Melotron,Lilienthals Traum,4
1659984,Kevin Ayers,Star,0
4217783,Gilbert Bécaud,Mourir à Capri,4
6625847,The Cure,I'm Cold,0
1833317,Faster Pussycat,Body Thief,1
9559502,Florence and The Machine,Drumming Song,1
1384232,George Ducas,I'm Pretending,4
921513,Travis Tritt,No Vacation From the Blues,2
6844365,The Envy Corps,Party Dress,0
1078902,Jan Wayne,Dein ist mein ganzes Herz,4
1587976,Spiritualized,I Want You,0
2885644,Sam Phillips,Your Kindness,2
7011165,Wayne Newton,Red Roses for a Blue Lady,3
5160426,Waylon Jennings,Abilene,3
1040069,Marc Anthony,Un Mal Sueño,4
823190,Eugenius,Wannabee,1
3010739,2Pac,Let's Get It On,1
3993371,Tokyo Rose,Phonecards and Postcards,0
5765276,Joan of Arc,Many Times I've Mistaken,2
5917194,Hydrogyn,Vesper's Song,2
3583690,Foo Fighters,DOA,1
2315210,Misconduct,Suffer,4
8071194,Tiga,Far From Home,3
2779497,Devendra Banhart,"Wake Up, Little Sparrow",2
1281345,Blood for Blood,She's Still a Bitch (Called Hope),1
2613685,The Strawbs,The Battle,1
2783794,Buzzcocks,Ever Fallen in Love (With Someone You Shouldn't've),0
5015724,Mason Jennings,Some Say I'm Not,2
6659465,Remi Nicole,Go Mr. Sunshine,1
3487463,Secret Sphere,Dance With the Devil,1
6384535,Two Hours Traffic,Stuck for the Summer,1
