f_name,a_name,title,lyrics
sad_all/(Howl).mp3,Le Loup,(Howl),
sad_all/(I Can't Seem To) Make You Mine.mp3,The Clientele,(I Can't Seem To) Make You Mine,"In the silence of the garden Moss arizing on the wind And the beast is pondering love love love Till the rusty nail grow dim  I can't seem to make you mine Through the long and lonely night And I try so hard, darling But the crowd pulled you away Through the rhythm and the rain And the ivy coiled around my hand  So I lingered with the people In the silent August glade But the rain has brought the night And the night has brought the rain"
sad_all/A Real Cool Time.mp3,The Bates,A Real Cool Time,Strawberry chambermade in summertime I feel so fine Obnoxious things and all that stuff Are really out I'd like to know where you have gone Now that we all have such fun We got big beats we got big kiss It's a bliss Feels like I'm in heaven Oh I feel so fine If you where only here my friend You would have a real cool time A real cool time Special volcano that you are Why did you have to go so far I'm sure you'd like it just like this
sad_all/Africa.mp3,D'Angelo,Africa,"Africa is my descent And here I am far from home I dwell within a land that is meant For many men not my tone, yeah  The blood of God is my defense Let it drop down to my seed Showers to your innocence To protect you for all eternity And with this wood I beat this drum And we won't see defeat  From kings to queens Becomes a prince Knowledge and wisdom Is understanding what we need  (And this day will come) Ever since the day you came My whole world began to change I knew then to dedicate my life For your own  (And this day will come) Everyday I see you grow And remember what you already know I receive, I receive the love That radiates from your glow  From which you came was love And that's how it all should be You and my soul are I Through all the time and history, yeah (And past) Thank you, thank you"
sad_all/Almost Lover.mp3,A Fine Frenzy,Almost Lover,"Your fingertips across my skin The palm trees swaying in the wind Images  You sang me Spanish lullabies The sweetest sadness in your eyes Clever trick  Well, I'd never want to see you unhappy I thought you'd want the same for me  Goodbye, my almost lover Goodbye, my hopeless dream I'm trying not to think about you Can't you just let me be So long, my luckless romance My back is turned on you Shoulda known you'd bring me heartache Almost lovers always do  We walked along a crowded street You took my hand and danced with me Images  And when you left you kissed my lips You told me you would never, never forget These images  Well, I'd never want to see you unhappy I thought you'd want the same for me  Goodbye, my almost lover Goodbye, my hopeless dream I'm trying not to think about you Can't you just let me be So long, my luckless romance My back is turned on you Shoulda known you'd bring me heartache Almost lovers always do  I cannot go to the ocean I cannot drive the streets at night I cannot wake up in the morning Without you on my mind So you're gone and I'm haunted And I'll bet you are just fine Did I make it that easy to walk Right in and out of my life  Goodbye, my almost lover Goodbye, my hopeless dream I'm trying not to think about you Can't you just let me be So long, my luckless romance My back is turned on you Shoulda known you'd bring me heartache Almost lovers always do"
sad_all/Already Dead.mp3,Beck,Already Dead,Time wears away All the pleasures of the day All the treasures you could hold Days turn to sand Losing strength in every hand They can't hold you anymore  Already dead to me now Already dead to me now 'Cause it feels like I'm watching something dyin'  Love looks away In the harsh light of the day On the edge of nothing more Days fade to black In the light of what they lack Nothing's measured by what it needs  Already dead to me now Already dead to me now 'Cause it feels like I'm watching something dyin'
sad_all/And Now The Day Is Done.mp3,Ron Sexsmith,And Now The Day Is Done,"The sun has gone It arose but never shone And now the day is done Before it ever begun  It was such a pleasant dream Till someone pulled the plug T'was a rude awakening Guess it's time we all woke up And admit that something's very wrong  The sun has gone It arose but never shone And now the day is done Before it ever begun  Now I guess we'll never know Of the load you had to bear When you walked that lonesome road Did it lead you to despair? I just hope You've found some comfort there  The sun has gone It arose but never shone And now the day is done Before it ever begun  I just hope You've found some comfort there  The sun has gone It arose but never shone And now the day is done Before it ever begun  The sun has gone It arose but never shone And now the day is done Before it ever begun  Ooh, ooh-ooh, ooh-ooh, ooh-ooh Ooh-ooh, ooh-ooh, ooh-ooh Ooh-ooh, ooh-ooh, ooh-ooh."
sad_all/Another World.mp3,Antony & The Johnsons,Another World,"I need another place Will there be peace? I need another world This one's nearly gone  Still have too many dreams Never seen the light I need another world A place where I can go  I'm gonna miss the sea I'm gonna miss the snow I'm gonna miss the bees I'll miss the things that grow  I'm gonna miss the trees I'm gonna miss the sound I'll miss the animals I'm gonna miss you all  I need another place Will there be peace? I need another world This one's nearly gone  I'm gonna miss the birds Singing all their songs I'm gonna miss the wind Been kissing me so long, oh  Another world Another world Another world Another world"
sad_all/Apart.mp3,The Cure,Apart,"He waits for her to understand But she won't understand at all She waits all night for him to call But he won't call anymore He waits to hear her say ""forgive"" But she just drops her pearl-black eyes And prays to hear him say ""I love you"" But he tells no more lies  He waits for her to sympathize But she won't sympathize at all She waits all night to feel his kiss But always wakes alone He waits to hear her say ""forget"" But she just hangs her head in pain And prays to hear him say ""No more I'll never leave again""  How did we get this far apart? We used to be so close together How did we get this far apart? I thought this love would last forever  He waits for her to understand But she won't understand at all She waits all night for him to call But he won't call He waits to hear her say ""forgive"" But she just drops her pearl black eyes And prays to hear him say ""I love you"" But he tells no more lies  How did we get this far apart? We used to be so close together How did we get this far apart? I thought this love would last forever"
sad_all/Bibo no Aozora-Endless Flight and Babel.mp3,Gustavo Santaolalla,Endless Flight,
sad_all/Binge.mp3,Papa Roach,Binge,"All I need is a bottle And I don't need no friends, no Wallow in my pain I swallow as I pretend To act like I'm happy When I drink 'til no end, no.  I'm losing all my friends I'm losing in the end.  She says ""Behave little boy, you better sit back down 'Til you hold your ground It's your turn to learn to fight You better sit back down 'Til you hold your ground.""  When I'm sober life bores me  So I get drunk again Yeah. I'm losing all my friends I'm losing in the end.  She says ""Behave little boy You better sit back down 'Til you hold your ground It's your turn to learn to fight You better sit back down 'Til you hold your ground."" Yeah!  You better sit back down. You better put that down. Put the bottle down. I am on a Binge!  ""Behave little boy You better sit back down 'Til you hold your ground. It's your turn to learn to fight! You better sit back down 'Til you hold your ground.""  Yeah!  I am on a Binge I wish things would change Wish they'd rearrange I'm on a Binge I wish things would change  Wish they'd rearrange  I am on a Binge. I'm on a Binge! Yeah, yeah."
sad_all/Bitter Sweet (1999 Digital Remaster).mp3,Roxy Music,Bitter Sweet,"Well this is such a sad affair I've opened up my heart So many times But now it's closed  Oh my dear every salted tear It wrings bittersweet applause  But when the show's in full swing Every once in a while High stepping chorus lines Mean I'm forgetting Mein lullaby Liebchen  How rich in contrast love can be Sometimes I'm quite amused To see it twist and turn To taste both sweet and dry  These vintage years Lovers you consume, my friend As others their wine  Nein, das ist nicht das Ende der Welt Gestrandet an Leben und Kunst Und das Spiel geht weiter Wie man weiß Noch viele schönste... Wiedersehn  And now, as you turn to leave You try to force a smile As if to compensate Then you break down and cry"
sad_all/Bless The Broken Road.mp3,Rascal Flatts,Bless The Broken Road,"I set out on a narrow way Many years ago Hoping I would find true love  Along the broken road But I got lost a time or two Wiped my brow and kept pushing through I couldn't see how every sign Pointed straight to you  That every long-lost dream  Led me to where you are Others who broke my heart They were like northern stars Pointing me on my way Into your loving arms This much I know is true That God blessed the broken road That led me straight to you Yes, He did  I think about the years I spent Just passing through I'd like to have the time I lost And give it back to you But you just smile and take my hand You've been there, you understand It's all part of a grander plan That is coming true  Every long-lost dream  Led me to where you are Others who broke my heart They were like northern stars Pointing me on my way Into your loving arms This much I know is true That God blessed the broken road That led me straight to you  And now I'm just rolling home Into my lover's arms This much I know is true That God blessed the broken road That led me straight to you That God blessed the broken road That led me straight to you"
sad_all/Blue Sky Blues.mp3,Ryan Adams,Blue Sky Blues(Album Version),"Blue sky when you gonna learn to rain? And let yourself go blue for once And let go of the weight you've been carrying In this house no one goes to sleep for days It's like were working on a mountainside Trying not to slide Into the ocean  I can take care of you But only if you want I'm strong enough to carry you Across the icy lake, across the icy lake But I can't fight your blues 'Cause I know I'll lose What's left of my mind I can't win But for you I will try Oh, my baby blue  My mountain is hidden in a pile of trees And she's the one I'll have to climb If I ever wanna see Blue sky when you gonna learn to rain? And let yourself go blue for once And let go of the pain?  I can take care of me The way you'd like to feel Underneath the riverbed Across the icy lake, across the icy lake But I can't fight your blues 'Cause I know I'll lose What's left of my mind I can't win But for you I will try For you For you My baby blue"
sad_all/Brightly.mp3,Sleeping At Last,Brightly,"So close, Yet barely breathing, My responses are weak.  Though my eyes are shut tightly. May I see you brightly.  Handshakes and fake smiles Always make me nervous... Close the door, Plaease, close the door.  We rise and fall From you. Climb, climb, climb... We fall.  May w learn from The signals of our past, The sharpest words we cast And begin again.  I can hear their voices Through the walls of this place... This cold, cold place We rise and fall from you, We rise and fall far from you.  So close, Yet barely breathing, My responses are weak.  Trace these fingerprints, closely now And they will form what you're looking for. We'll make new prints once more."
sad_all/Broken Piano Pt.2.mp3,Library Tapes,Broken Piano Part 2,
sad_all/Bye Bye Blackbird.mp3,Joe Cocker,Bye Bye Blackbird(Album Versio,Pack up all my cares and woes Feeling low here I go Bye bye blackbird  Where somebody waits for me  Sugar sweet so is she Bye bye blackbird  No one seems to love or understand me And all the hard luck stories they keep handing me   Where somebody shines the light  I'll be coming on home tonight  Bye bye blackbird  Nobody seems to love or understand me And all the hard luck stories they keep on handing me Where somebody shines the light I'm coming on home tonight Bye bye blackbird
sad_all/Caving in.mp3,Kimya Dawson,Caving In,"Have you ever been swindled by a swindler who lies 'Cause he wants to see you smile, have a good time, be inspired And he doesn't want for you to cry or know he cries inside So he hides behind his great triumphant rock and roll disguise We want things to be real but you really can't deny We feel excited and on fire is it wrong to lie and say he's fine When the reason he's not fine is the pressure of the power changing lives In just one hour all these people will be better people  Take this job and shove it, adios I'm a ghost I am leaving for the coast and I'll never work for anyone again I am not your savior or your heavenly host I'm just a piece of zwieback toast Getting soggy in a baby's achin' mouth I'm going south like the geese I just goosed you and so maybe I seem loose to you But I don't even want to spoon And I did once But I don't now Now that I see how you do things The way you play and sing's amazing But the way you play the game is crazy You don't have to say you're sorry, you don't owe me anything Don't owe me anything  Sometimes it seems like I've got all the answers But the answers aren't the same when the questions keep on changing Like how will I react when I see my mother crying Avery single day 'cause she is afraid of dying? And how will I contain my anger When Delila plays Unchained Melody instead of Lost In Your Eyes? And where will I go where I can feel safe When my family sells its place and we all split up and move away?  I'm trying to be brave 'cause when I'm brave Other people feel brave But I feel like my heart is caving in  I'm trying to be brave 'cause when I'm brave Other people feel brave But I feel like my heart is caving in  I'm trying to be brave 'cause when I'm brave Other people feel brave But I feel like my heart is caving in"
sad_all/Clothes Of Sand.mp3,Nick Drake,Clothes Of Sand,Who has dressed you in strange clothes of sand Who has taken you far from my land Who has said that my sayings were wrong And who will say that I stayed much too long?  Clothes of sand have covered yor face Given you meaning but taken my place So make your way on down to the sea Something has taken you so far from me.  Does it now seem worth all the colour of skies To see the earth through painted eyes To look through panes of shaded glass See the stains of winter's grass.  Can you now return to from where you came Try to burn your changing name Or with silver spoons and coloured light Will you worship moons in winter's night.  Clothes of sand have covered your face Given you meaning but taken my place So make your way on down to the sea Something has taken you so far from me.
