stem,word,pos
hatr,hatred,VB
yellow,yellow,VB
whose,whose,VB
accus,accused,VB
spin,spinning,VB
sweetest,sweetest,JJ
igual,igual,JJ
certain,certain,JJ
worth,worth,JJ
lonesom,lonesome,VB
lurk,lurking,VB
distort,distorted,VB
vast,vast,JJ
prize,prize,VB
naiv,naive,JJ
second,second,JJ
amus,amused,VB
lightn,lightning,VB
upset,upset,VB
new,new,JJ
med,med,VB
golden,golden,JJ
tempt,tempted,VB
strap,strapped,VB
moral,moral,JJ
stern,stern,JJ
total,total,JJ
unit,united,JJ
music,music,JJ
tell,tell,VB
griev,grieve,VB
warn,warning,VB
warm,warm,JJ
wors,worse,JJ
give,give,VB
wirklich,wirklich,JJ
want,want,VB
hot,hot,JJ
confin,confined,VB
recogn,recognize,VB
vicious,vicious,JJ
wrong,wrong,JJ
beauti,beautiful,JJ
third,third,JJ
imposs,impossible,JJ
wink,wink,VB
green,green,JJ
worst,worst,JJ
origin,original,JJ
crumbl,crumble,JJ
finest,finest,JJ
gentl,gentle,VB
easier,easier,JJ
safe,safe,JJ
luce,luce,VB
rocki,rocky,JJ
went,went,VB
goe,goes,VB
got,got,VB
written,written,VB
free,free,JJ
bailar,bailar,JJ
ritual,ritual,JJ
rais,raise,VB
loud,loud,JJ
trembl,tremble,JJ
independ,independent,JJ
agre,agree,VB
top,top,JJ
listen,listen,VB
took,took,VB
western,western,JJ
provid,provide,VB
raw,raw,JJ
seen,seen,VB
seem,seems,VB
chest,chest,JJ
crippl,crippled,VB
addict,addicted,VB
grave,grave,VB
glow,glow,VB
doe,does,VB
left,left,VB
came,came,VB
pave,paved,VB
sanctuari,sanctuary,JJ
deepest,deepest,JJ
rich,rich,JJ
do,do,VB
klein,kleine,VB
nasti,nasty,JJ
bad,bad,JJ
bled,bled,VB
respons,responsible,JJ
best,best,JJ
subject,subject,JJ
awar,aware,JJ
said,said,VB
awak,awake,VB
warrior,warrior,JJ
wo,won't,VB
weak,weak,JJ
unfold,unfold,JJ
intox,intoxicated,VB
weari,weary,JJ
assur,assured,VB
tough,tough,JJ
pose,pose,VB
assum,assume,VB
been,been,VB
much,much,JJ
tini,tiny,JJ
funer,funeral,JJ
fest,fest,JJ
suav,suave,VB
save,save,VB
is,is,VB
sting,sting,VB
jest,jest,JJ
grown,grown,VB
perform,perform,VB
make,make,VB
complex,complex,JJ
ingent,ingenting,VB
social,social,JJ
jealous,jealous,JJ
kept,kept,VB
soak,soaked,VB
taint,tainted,VB
greatest,greatest,JJ
had,had,VB
has,has,VB
gave,gave,VB
lake,lake,VB
negat,negative,JJ
soar,soar,VB
old,old,JJ
dead,dead,JJ
intern,international,JJ
bore,bored,VB
drove,drove,VB
bold,bold,JJ
cherish,cherish,JJ
produc,produced,VB
float,floating,VB
vuelv,vuelve,VB
wrap,wrapped,VB
happi,happy,JJ
call,call,VB
was,was,VB
wrote,wrote,VB
everlast,everlasting,VB
forg,forged,VB
jive,jive,JJ
true,true,JJ
electr,electric,JJ
vive,vive,JJ
tie,tied,VB
dies,diese,JJ
fell,fell,VB
consid,consider,VB
younger,younger,JJ
receiv,receive,VB
longer,longer,JJ
serious,serious,JJ
daili,daily,JJ
invent,invented,VB
decid,decide,VB
string,string,VB
mourn,mourning,VB
captiv,captive,JJ
shave,shave,VB
cose,cose,VB
brave,brave,VB
regret,regret,VB
sigh,sigh,JJ
worn,worn,JJ
bake,bake,VB
current,current,JJ
french,french,JJ
wait,waiting,VB
shove,shove,VB
guilti,guilty,JJ
pillow,pillow,VB
love,love,VB
extra,extra,JJ
rattl,rattle,VB
prefer,prefer,VB
impos,imposible,JJ
live,live,JJ
angri,angry,JJ
vous,vous,JJ
savior,savior,JJ
prepar,prepared,JJ
pretend,pretend,VB
sous,sous,JJ
sour,sour,JJ
purpos,purpose,VB
pink,pink,VB
write,write,VB
such,such,JJ
dove,dove,VB
grow,grow,VB
leve,leve,VB
conscious,conscious,JJ
confus,confused,VB
ordinari,ordinary,JJ
anticip,anticipating,VB
yearn,yearning,VB
civil,civil,JJ
whole,whole,JJ
kaiken,kaiken,VB
main,main,JJ
shatter,shattered,VB
disappoint,disappointed,JJ
not,don't,VB
separ,separate,JJ
replac,replace,VB
begun,begun,VB
shown,shown,VB
bless,blessed,VB
seventh,seventh,JJ
auch,auch,JJ
romant,romantic,JJ
honest,honest,JJ
swing,swing,VB
think,think,VB
arriv,arrive,JJ
spanish,spanish,JJ
ring,ring,VB
open,open,JJ
given,given,VB
white,white,JJ
short,short,JJ
boyfriend,boyfriend,VB
wide,wide,JJ
gotta,gotta,VB
were,were,VB
say,say,VB
take,take,VB
concern,concerned,JJ
begin,begin,VB
sure,sure,JJ
normal,normal,JJ
ust,usted,JJ
paid,paid,VB
pathet,pathetic,JJ
greed,greed,VB
