stem,word,pos
día,día,
pido,pido,
hatr,hatred,VB
pide,pide,
yellow,yellow,VB
four,four,
sleev,sleeve,
sleep,sleep,
thirst,thirst,
upsid,upside,
captain,captain,
hate,hate,
yonder,yonder,
villag,village,
request,request,
otro,otro,
whose,whose,VB
accus,accused,VB
pardon,pardon,
auf,auf,
spin,spinning,VB
sorri,sorry,
sweetest,sweetest,JJ
otra,otra,
igual,igual,JJ
aus,aus,
concret,concrete,
certain,certain,JJ
buddi,buddy,
daze,daze,
under,under,
tai,tai,
lord,lord,
pride,pride,
sway,sway,
worth,worth,JJ
lonesom,lonesome,VB
digit,digital,
callin,callin',
everi,every,
risk,risk,
neue,neue,
void,void,
rise,rise,
lurk,lurking,VB
voic,voice,
distort,distorted,VB
risa,risa,
olvidart,olvidarte,
smack,smack,
georgia,georgia,
jack,jack,
voix,voix,
govern,government,
affect,affection,
voit,voit,
ala,alas,
voir,voir,
vast,vast,JJ
elvi,elvis,
school,school,
prize,prize,VB
daydream,daydream,
wooden,wooden,
ref,ref:,
factori,factory,
oooo,oooo,
haben,haben,
nacht,nacht,
oooh,oooh,
niño,niño,
venus,venus,
blick,blick,
upp,upp,
hora,hora,
chew,chew,
fuera,fuera,
again,again,
naiv,naive,JJ
chez,chez,
direct,direction,
horn,horn,
nail,nails,
consequ,consequence,
second,second,JJ
street,street,
sooth,soothe,
olvida,olvida,
fuert,fuerte,
n,n,
illumin,illuminate,
even,even,
nel,nel,
nem,nem,
hide,hide,
christ,christ,
wreck,wreck,
thunder,thunder,
amus,amused,VB
asid,aside,
lightn,lightning,VB
poison,poison,
muer,muere,
kun,kun,
haze,haze,
fuerza,fuerza,
toll,toll,
upset,upset,VB
new,new,JJ
net,net,
ever,ever,
liberti,liberty,
told,told,
med,med,VB
meg,meg,
manipul,manipulate,
hero,hero,
sobr,sobre,
oscuridad,oscuridad,
così,così,
never,never,
here,here,
meu,meu,
met,met,
jaurai,j'aurais,
nicht,nicht,
china,china,
smokin,smokin',
mes,mes,
mer,mer,
path,path,
100,100,
pleasur,pleasure,
half,half,
gli,gli,
tant,tant,
daughter,daughter,
ska,ska,
anymor,anymore,
robin,robin,
dri,dry,
jame,james,
resto,resto,
cradl,cradle,
smoke,smoke,
zombi,zombie,
studi,study,
fui,fui,
counti,county,
golden,golden,JJ
stray,stray,
ecstasi,ecstasy,
também,também,
solament,solamente,
tempt,tempted,VB
seven,seven,
strap,strapped,VB
brought,brought,
qui,qui,
attitud,attitude,
toujour,toujours,
moral,moral,JJ
hollow,hollow,
outra,outra,
stern,stern,JJ
hablar,hablar,
total,total,JJ
unit,united,JJ
plot,plot,
symphoni,symphony,
spoke,spoke,
would,would,
nine,nine,
niin,niin,
princess,princess,
bike,bike,
music,music,JJ
calm,calm,
armi,army,
strike,strike,
torment,torment,
tryin,tryin',
type,type,
tell,tell,VB
willst,willst,
griev,grieve,VB
saber,saber,
relax,relax,
relat,relate,
notic,notice,
hurt,hurt,
warn,warning,VB
phone,phone,
berlin,berlin,
warm,warm,JJ
pecho,pecho,
holi,holy,
aux,aux,
muss,muss,
moin,moins,
hole,hole,
pouco,pouco,
dot,dot,
must,must,
me,me,
accid,accident,
für,für,
ma,ma,
room,room,
mc,mc,
flore,flores,
mm,mm,
mo,mo,
work,work,
mi,mi,
cant,cant,
roof,roof,
hizo,hizo,
ere,eres,
wors,worse,JJ
wort,worte,
era,era,
sweeter,sweeter,
mr,mr.,
olen,olen,
im,im,
libertad,libertad,
my,my,
it´,it´s,
gloria,gloria,
jamai,jamais,
empieza,empieza,
io,io,
serpent,serpent,
give,give,VB
vos,vos,
honey,honey,
mornin,mornin',
wirklich,wirklich,JJ
want,want,VB
aaah,aaah,
nient,niente,
attract,attraction,
cielo,cielo,
end,end,
solitud,solitude,
thing,things,
polic,police,
hoo,hoo,
travel,travel,
prendr,prendre,
ogni,ogni,
how,how,
hot,hot,JJ
confin,confined,VB
hop,hop,
rewind,rewind,
answer,answer,
gate,gates,
quoi,quoi,
beach,beach,
quon,qu'on,
hoy,hoy,
cariño,cariño,
fever,fever,
recogn,recognize,VB
lai,lai,
mess,mess,
cadillac,cadillac,
ladder,ladder,
after,after,
vicious,vicious,JJ
être,être,
befor,before,
wrong,wrong,JJ
lay,lay,
beauti,beautiful,JJ
weißt,weißt,
law,law,
lap,lap,
adio,adios,
sentir,sentir,
domin,domination,
third,third,JJ
acaba,acaba,
sitä,sitä,
greet,greet,
imposs,impossible,JJ
hasta,hasta,
wink,wink,VB
green,green,JJ
enter,enter,
plagu,plague,
worst,worst,JJ
wing,wings,
wind,wind,
wine,wine,
origin,original,JJ
peux,peux,
carnav,carnaval,
madrugada,madrugada,
deck,deck,
peur,peur,
crumbl,crumble,JJ
over,over,
failur,failure,
orang,orange,
becaus,because,
peut,peut,
surrend,surrender,
finest,finest,JJ
london,london,
atrá,atrás,
mañana,mañana,
vita,vita,
hook,hook,
tennesse,tennessee,
vite,vite,
dreamer,dreamer,
ima,i'ma,
meno,menos,
gentl,gentle,VB
vento,vento,
fit,fit,
canto,canto,
despierta,despierta,
fix,fix,
baila,baila,
crew,crew,
better,better,
spoken,spoken,
offic,office,
días,días,
fade,fade,
creo,creo,
hidden,hidden,
fin,fin,
easier,easier,JJ
fil,fils,
split,split,
then,then,
them,them,
anim,animal,
trippin,trippin',
était,était,
thee,thee,
safe,safe,JJ
deinem,deinem,
disturb,disturb,
deinen,deinen,
break,break,
band,band,
bang,bang,
deiner,deiner,
promis,promise,
they,they,
teu,teu,
battl,battle,
one,one,
silver,silver,
bank,bank,
bread,bread,
wenn,wenn,
choic,choice,
victori,victory,
viver,viver,
chico,chico,
sleepless,sleepless,
l,l,
choir,choir,
luce,luce,VB
holdin,holdin',
rocki,rocky,JJ
arrow,arrow,
each,each,
puppet,puppet,
went,went,VB
enamorado,enamorado,
side,side,
bone,bones,
mean,mean,
turnin,turnin',
allah,allah,
overflow,overflow,
spider,spider,
tip,tip,
taught,taught,
forgot,forgot,
dawn,dawn,
despis,despise,
saturday,saturday,
whip,whip,
fragil,fragile,
depress,depression,
gon,gon',
velvet,velvet,
goe,goes,VB
god,god,
nunca,nunca,
muero,muero,
algún,algún,
matar,matar,
content,content,
re,re,
laid,laid,
branch,branches,
ra,ra,
mondo,mondo,
got,got,VB
forth,forth,
swell,swell,
smart,smart,
frei,frei,
written,written,VB
hang,hang,
nightmar,nightmare,
situat,situation,
infin,infinity,
free,free,JJ
bailar,bailar,JJ
redempt,redemption,
spill,spill,
boulevard,boulevard,
evil,evil,
entrar,entrar,
nie,nie,
silent,silent,
dancin,dancin',
ate,ate,
sunshin,sunshine,
puzzl,puzzle,
ritual,ritual,JJ
cosmic,cosmic,
ist,ist,
att,att,
rais,raise,VB
hopeless,hopeless,
can’t,can’t,
loud,loud,JJ
bite,bite,
fuckin,fuckin',
fantasi,fantasy,
rang,range,
slept,slept,
einer,einer,
tellement,tellement,
jamaica,jamaica,
fácil,fácil,
trembl,tremble,JJ
independ,independent,JJ
wast,waste,
lágrima,lágrimas,
system,system,
wash,wash,
alreadi,already,
comin,comin',
einen,einen,
thick,thick,
agre,agree,VB
hood,hood,
pasa,pasa,
endlich,endlich,
é,é,
è,è,
bonita,bonita,
inch,inch,
top,top,JJ
à,à,
ingen,ingen,
sometim,sometimes,
å,å,
fiction,fiction,
tabl,table,
toi,toi,
ton,ton,
too,too,
tom,tom,
rockin,rockin',
dwell,dwell,
hollywood,hollywood,
john,john,
bitter,bitter,
tod,tod,
listen,listen,VB
hacer,hacer,
murder,murder,
consol,consolation,
segundo,segundo,
tool,tool,
took,took,VB
