stem,word,pos
hatr,hatred,VB
accus,accused,VB
spin,spinning,VB
igual,igual,JJ
certain,certain,JJ
lurk,lurking,VB
distort,distorted,VB
naiv,naive,JJ
second,second,JJ
amus,amused,VB
lightn,lightning,VB
new,new,JJ
med,med,VB
golden,golden,JJ
tempt,tempted,VB
strap,strapped,VB
moral,moral,JJ
total,total,JJ
unit,united,JJ
warn,warning,VB
wors,worse,JJ
give,give,VB
hot,hot,JJ
confin,confined,VB
recogn,recognize,VB
vicious,vicious,JJ
wrong,wrong,JJ
third,third,JJ
imposs,impossible,JJ
green,green,JJ
worst,worst,JJ
origin,original,JJ
crumbl,crumble,JJ
finest,finest,JJ
easier,easier,JJ
safe,safe,JJ
went,went,VB
goe,goes,VB
got,got,VB
written,written,VB
free,free,JJ
ritual,ritual,JJ
trembl,tremble,JJ
independ,independent,JJ
took,took,VB
western,western,JJ
seen,seen,VB
seem,seems,VB
crippl,crippled,VB
addict,addicted,VB
doe,does,VB
came,came,VB
pave,paved,VB
rich,rich,JJ
do,do,VB
nasti,nasty,JJ
bad,bad,JJ
bled,bled,VB
respons,responsible,JJ
best,best,JJ
awar,aware,JJ
said,said,VB
weak,weak,JJ
unfold,unfold,JJ
intox,intoxicated,VB
weari,weary,JJ
assur,assured,VB
tough,tough,JJ
assum,assume,VB
been,been,VB
much,much,JJ
tini,tiny,JJ
funer,funeral,JJ
save,save,VB
is,is,VB
sting,sting,VB
make,make,VB
complex,complex,JJ
ingent,ingenting,VB
social,social,JJ
jealous,jealous,JJ
soak,soaked,VB
taint,tainted,VB
greatest,greatest,JJ
had,had,VB
has,has,VB
gave,gave,VB
negat,negative,JJ
soar,soar,VB
old,old,JJ
dead,dead,JJ
intern,international,JJ
bore,bored,VB
produc,produced,VB
float,floating,VB
wrap,wrapped,VB
happi,happy,JJ
was,was,VB
wrote,wrote,VB
everlast,everlasting,VB
forg,forged,VB
true,true,JJ
electr,electric,JJ
tie,tied,VB
dies,diese,JJ
fell,fell,VB
consid,consider,VB
younger,younger,JJ
serious,serious,JJ
daili,daily,JJ
invent,invented,VB
mourn,mourning,VB
current,current,JJ
french,french,JJ
wait,waiting,VB
guilti,guilty,JJ
