tid,artist_name_msd,title_msd,mxm_tid,artist_name_mxm,title_mxm
TRMMMKD128F425225D,Karkkiautomaatti,Tanssi vaan,4418550,Karkkiautomaatti,Tanssi vaan
TRMMMRX128F93187D9,Hudson Mohawke,No One Could Ever,8898149,Hudson Mohawke,No One Could Ever
TRMMMCH128F425532C,Yerba Brava,Si Vos Querés,9239868,Yerba Brava,Si vos queres
TRMMMXN128F42936A5,David Montgomery,"Symphony No. 1 G minor ""Sinfonie Serieuse""/Allegro con energia",5346741,Franz Berwald,"Symphony No. 1 in G minor ""Sinfonie Sérieuse"": I. Allegro con energia"
TRMMMBB12903CB7D21,Kris Kross,2 Da Beat Ch'yall,2511405,Kris Kross,2 Da Beat Ch'yall
TRMMMHY12903CB53F1,Joseph Locke,Goodbye,793273,Joseph LoDuca,Goodbye
TRMMMNS128F93548E1,3 Gars Su'l Sofa,L'antarctique,7503609,3 gars su'l sofa,L'Antarctique
TRMMMXJ12903CBF111,Jorge Negrete,El hijo del pueblo,7362052,Jorge Negrete,El hijo del pueblo
TRMMMBW128F4260CAE,Tiger Lou,Pilots,7833814,Tiger Lou,Pilots
TRMMMXI128F4285A3F,Waldemar Bastos,N Gana,2320200,Waldemar Bastos,N Gana
TRMMMKI128F931D80D,Lena Philipsson,006,4280619,Lena Philipsson,006
TRMMMUT128F42646E8,Shawn Colvin,(Looking For) The Heart Of Saturday,674743,Shawn Colvin,(Looking for) The Heart of Saturday Night
TRMMMQY128F92F0EA3,Dying Fetus,Ethos of Coercion,8851472,Dying Fetus,Ethos of Coercion
TRMMMTK128F424EF7C,Emery,Rock-N-Rule,9855482,Emery,Rock-N-Rule
TRMMMQV12903CA201E,Rev. Timothy Wright,I Made It Over,610698,Rev. Timothy Wright,I Made It Over
TRMMMPN128F426610E,Nicolette,Nervous,721926,Nicolette,Nervous
TRMMMNO128F93539AA,Martin Sexton,In The Journey,1860322,Martin Sexton,In the Journey
