tid,mxm_tid,artist_name_mxm,title_mxm
TRMMMKD128F425225D,4418550,Karkkiautomaatti,Tanssi vaan
TRMMMRX128F93187D9,8898149,Hudson Mohawke,No One Could Ever
TRMMMCH128F425532C,9239868,Yerba Brava,Si vos queres
TRMMMXN128F42936A5,5346741,Franz Berwald,"Symphony No. 1 in G minor ""Sinfonie Sérieuse"": I. Allegro con energia"
TRMMMBB12903CB7D21,2511405,Kris Kross,2 Da Beat Ch'yall
TRMMMHY12903CB53F1,793273,Joseph LoDuca,Goodbye
TRMMMNS128F93548E1,7503609,3 gars su'l sofa,L'Antarctique
TRMMMXJ12903CBF111,7362052,Jorge Negrete,El hijo del pueblo
TRMMMBW128F4260CAE,7833814,Tiger Lou,Pilots
TRMMMXI128F4285A3F,2320200,Waldemar Bastos,N Gana
TRMMMKI128F931D80D,4280619,Lena Philipsson,006
TRMMMUT128F42646E8,674743,Shawn Colvin,(Looking for) The Heart of Saturday Night
TRMMMQY128F92F0EA3,8851472,Dying Fetus,Ethos of Coercion
TRMMMTK128F424EF7C,9855482,Emery,Rock-N-Rule
TRMMMQV12903CA201E,610698,Rev. Timothy Wright,I Made It Over
TRMMMPN128F426610E,721926,Nicolette,Nervous
TRMMMNO128F93539AA,1860322,Martin Sexton,In the Journey
TRMMMTG128F426B5BB,620542,DJ Craze,Fuckin Ethic People (999)
TRMMMPJ128F9306985,3578541,Christian Castro,Tu vida con la mia
TRMMMRZ128F4265EB4,2124234,Aerosmith,I'm Ready
TRMMMKD12903CF219E,1093778,Skinlab,Take as Needed
TRMMMJW12903CF239E,3462792,Piotta,Tequila
TRMMMWA128F1462C8C,1941194,Sev Statik,All for a Purpose
TRMMMQN128F4238509,1078688,Prince & The Revolution,Raspberry Beret
TRMMMKQ128F92EBCB5,1071669,Kreator,All of the Same Blood
TRMMMQK128F428AB1F,2843061,Hall of Fame,One Little Too Little
TRMMMPU128F42B134D,9320599,Frank Chacksfield,Cockleshell Heroes
TRMMMYP128F429A5E4,1688425,Voyage,Trancesequence
TRMMMKN12903CB44A5,6544020,Wishbone Ash,Wonderful Stash
TRMMMUZ128F4238E64,3918722,Malavoi,La filo
TRMMMTP128F4276193,1815398,Cobra Verde,Throw It Away
TRMMMSA128F425FA38,1338599,Lisa Brokop,Before He Kissed Me
TRMMMHS128F42A0971,1135373,The Emotions,Blessed
TRMMMDJ128F92CC9F6,7512990,Hawthorne Heights,Disaster (demo version)
TRMMMBU128F9305AC3,3254947,Toots & The Maytals,Night and Day
TRMMMFJ128F92E15AC,7264035,Neffa,Passione
TRMMMNI12903CE0AF1,8589413,Lil' O,My Everything (feat. Trae tha Truth)
TRMMMFG128F425087B,3465039,Billy Idol,Scream
TRMMMLV128F14821BE,1001510,Out of the Grey,He Is Not Silent
TRMMMLF128F4228771,7497639,Osvaldo Farrés,Acércate Más (Nat King Cole)
TRMMMXD128F932AD86,8029089,Sheb Wooley,Mule Boogie
TRMMMQA128F14A454A,755404,Diana Krall,Dancing in the Dark
TRMMMGL128F92FD6AB,6821012,Clifford T. Ward,Mad About You
TRMMWMW12903CC6062,1724033,Joe Diffie,Ships That Don't Come In
TRMMWDA128F9343B5B,6140619,Blackfoot,Saturday Night
TRMMWDL128F9300D5D,5006517,Stemm,On the Surface
TRMMWJS12903CBB7F5,730669,Aerosmith,Remember (Walking in the Sand)
TRMMWOM12903CB21B8,12401396,Hot Lips Page,Just Another Woman
TRMMWYF128F42557B7,3219938,David Fridlund,[untitled]
TRMMWZE12903D0EB43,3156278,Kultiration,Bakslag
TRMMWVS12903CDD6FB,5120827,Ewigkeit,The New Way
TRMMWCK128F92D4800,9668137,Alpha 5.20,Pression Sanguine
TRMMWLD128F9301BF2,686792,Soulfly,Bring It
TRMMWBU128F930B7CF,6082996,Finis Tasby,Sitting in My Window
TRMMWNY12903CF28D2,1576953,Warren Zevon,The Rest of the Night
TRMMWMT128F9345B1B,2900636,Andrea Klas,Ride
TRMMWNB12903C9A959,4570651,The Soup Dragons,Passion Protein
TRMMWQF12903CC0CAC,9933245,Write This Down,Redemption
TRMMWVB128F9312434,1303365,Radio Macandé,Dame Tus Besos
TRMMWNW128F931511B,9798980,Brigitte Fontaine,Le Mauvais Coton
TRMMWFG128F92DFAA2,9431887,Hex,Subtek
TRMMWPD128F4247095,5617719,X-Perience,Dream of Love
TRMMWQU12903CF447F,8859768,Diablo Swing Orchestra,Lucy Fears the Morning Star
TRMMWTW128F42783DD,9675465,John Williams,Lennon / McCartney (Arr. Brouwer) - Fool on the Hill
TRMMWXK12903CDED07,5405769,Fucked Up,Baiting the Public
TRMMWHJ128F42869B2,13843656,The Surfaris,Wipeout
TRMMWAO128F93182D2,12502153,Kool Savas,Fick Uns
TRMMWVG12903CBF769,4768233,Prinz Porno,Wer sind die Jungs (feat. Din & Smexer)
TRMMWBR128F930E399,6526022,Lord T & Eloise,Make Dat Monet
TRMMWWE12903D067F2,5491830,Kingdom Come,Two Legged Sheep
TRMMWAO128F42A53EB,1915683,Gemelli Diversi,Chi sei adesso
TRMMWCX128F92EF4C8,4230512,Alice in Videoland,Stuck on My Vision
TRMMWSE128F93041C5,8637622,Kristian Meurman,Joku muu
TRMMWJP12903CD8807,9248595,Felt,Whaleface
TRMMWJD12903CC0F05,3291323,Gangster Fun,Brown Paper Bag
TRMMWTG128F4283F07,7740223,Roger Whittaker,You Needed Me
TRMMWXW128F422976E,7333180,A.Human,Pacey Singer
TRMMWMR12903CF8643,7749204,Tiësto vs. Cary Brothers,Ride (Tiesto remix)
TRMMWRF128F1462252,865870,Ice Cube,Endangered Species (Tales From the Darkside) (feat. Chuck D.)
TRMMWJM128F4227255,1564939,Archie Roach,Summer of My Life
TRMMWEZ128F1455EAC,2733788,Lester Flatt & Earl Scruggs & The Foggy Mountain Boys,Foggy Mountain Breakdown
TRMMWJY128F1469B8A,6310504,Luis Eduardo Aute,What Matters Is Just You
TRMMWAH128F92F9D00,3246773,Lonesome River Band,Southern Comfort
TRMMWYJ128EF358EA7,6155293,Retard-O-Bot,Something for Nothing
TRMMWWX128F92DAF12,3874300,Michael Whalen,First Light
TRMMWPX128F14965B8,1765742,Mark Wills,High Low and in Between
TRMMWSG128F92DD9AB,7882687,Roberto Carlos,Detalles
TRMMGDQ128F4277AE7,1322000,Fine China,Rock Can't Last Forever
TRMMGCB128E079651D,947540,Morcheeba,Get Along (feat. Pace Won)
TRMMGQO12903CD4F19,11089017,"Richard ""Groove"" Holmes",Caravan
TRMMGPD128F42AA230,1129940,Lamb,Just Is
TRMMGIL128F92DBA59,3163938,DJ Markitos,Inside Your Dreams
TRMMGTX128F92FB4D9,1303175,Bacilos,Viejo
TRMMGBF128F931B836,1346397,Toyah,Victims of the Riddle (Vivisection)
