tid,mxm_tid,artist_name_mxm,title_mxm
TRMMAHM128F92E704F,6243764,Mae Moore,All I Can't Explain
TRMMABD128F421F3DF,3396847,Heathen,Eye of the Storm
TRMMAIV128F92E7F55,2120310,Eagles of Death Metal,Already Died
TRMMATD128F932C32B,8320737,Casiotone for the Painfully Alone,You Were Alone
TRMMARP128F4285872,5415199,Gui Boratto,Like You (SuperMayer mix)
TRMMABJ128F9339932,7798922,Mick Clarke,Save the World
TRMMAPG128F14831C9,2382499,OBK,La princesa de mis sueños
TRMMAPF128F4247CF1,2814320,T.I.,Intro
TRMMAWT128EF36143B,1171868,Andy Stochansky,Talk Show (Letter to a Friend)
TRMMARQ128F92CC60D,11272588,Hadag Nahash,Nobody (remix) (feat. Mazi Cohen)
TRMMAAP128F146854E,6800805,The Durutti Column,Tomorrow (live in Japan)
TRMMAWC128F4298163,4554187,Pat Benatar,Little Paradise
TRMMAPG128F428B247,4766021,Bastian,Push the Right Knob
TRMMAZS128F149F12B,2776924,A Life Once Lost,The Change Came Suddenly
TRMMAST128F9300AAB,7989295,Lispector,Palace of My Soul
TRMMALU128F4257A0E,5840519,Jorge Ben,Tim Dom Dom
TRMMAVF128F147E239,3732608,Marvin Gaye,Love for Sale
TRMMAEY128F42675B0,5453442,Sun Eats Hours,The Level
TRMMAXK128F93122EF,1766566,Verdena,La tua fretta
TRMMAUP128F1489924,6542399,Anti-Pasti,East to West
TRMMANJ128F4271619,9141228,Kimmo Liskomäen Pitkät Kalsarit,Luodinkestävä poikaystävä
TRMMAPP128F92E6E8A,5033492,Malkit Singh,Bhangra Pawan Ke Naa (Feel Dis Fix feat. MC Bowler and Manraj)
TRMMAYP128F933C018,1338105,Rusted Root,Send Me On My Way
TRMMAJX12903CCE253,3532574,Jimmy Nail,Can't Hold On
TRMMAGK128F1497654,8714470,Leif Ove Andsnes,Johan Halvorsen-Andsnes: Suite de morceaux caractéristiques for violin and piano - Veslemoys Sang
TRMMATA128F934B2B1,8449008,UFO,No Place to Run
TRMMANP128F1479293,6947371,Timi Yuro,Don't Blame Me
TRMMAYZ128F429ECE6,5428337,I Ribelli,Lei m'ama
TRMMAHU12903CB8069,2663009,Sloppy Joe,Back Home
TRMMNOW128F42557E3,13489326,Dinu Lipatti,Walzes n. 14 in mi min. Op. Posth
TRMMNLJ128E07937A1,8652757,Soundgarden,Gun
TRMMNUB128F9316418,8422098,The Vaselines,Rosary Job (demo)
TRMMNGP128F42AF902,909637,Kingston Wall,When Something Old Dies
TRMMNVU128EF343EED,1440087,Masterboy,Feel the Heat of the Night 2000
TRMMNTB128F427D710,2641803,Sister Sledge,Love Don't You Go Through No Changes On Me
TRMMNAZ128F932BA6C,3616867,Fat Jon,You Are...
TRMMNAO128F42A0D24,660989,Miles Hunt,A Quick Fix
TRMMNUX128F1462B8D,2729654,Bon Voyage,The Third Marie
TRMMNCE12903D0E4A3,4814185,Patrick Saint-Eloi,H2O
TRMMNZS128EF34F916,3395960,The Twinkle Brothers,Sodom & Gomorrah
TRMMNZN128F42957D5,3287692,Phantom Planet,Big Brat
TRMMNEG128F426CC27,6677484,The Monsters,The Love I Never Had
