f_name,a_name,title,lyrics
happy_all/Accidentally In Love.mp3,Counting Crows,Accidentally In Love,"So she said, ""What's the problem, baby?"" What's the problem? I don't know Well, maybe I'm in love (Love) Think about it every time, I think about it Can't stop thinking 'bout it  How much longer will it take to cure this? Just to cure it 'cause I can't ignore it if it's love (love) Makes me wanna turn around and face me But I don't know nothing 'bout love, uh  Come on, come on, turn a little faster Come on, come on, the world will follow after Come on, come on, because everybody's after love  So I said I'm a snowball running Running down into the spring that's coming All this love melting under blue skies Belting out sunlight, shimmering love  Well, baby, I surrender to the strawberry ice cream Never ever end-er all this love Well, I didn't mean to do it But there's no escaping your love, uh  These lines of lightning mean we're never alone Never alone, no, no  Come on, come on, move a little closer Come on, come on, I wanna hear you whisper Come on, come on, settle down inside my love  Uh, come on, come on, (Come on) jump a little higher Come on, come on, if you feel a little lighter Come on, come on, (Come on) we were once upon a time in love  I'm accidentally in love Accidentally in love Accidentally in love Accidentally in love Accidentally in love  Accidentally in love Accidentally in love Accidentally in love Accidentally in love Accidentally  I'm in love, I'm in love I'm in love, I'm in love I'm in love, I'm in love Accidentally  I'm in love, I'm in love I'm in love, I'm in love I'm in love, I'm in love Accidentally  Come on, come on, (Come on) spin a little tighter Come on, come on, and the world's a little brighter Come on, come on, (Come on) just get yourself inside her love I'm in love"
happy_all/All Night Long (All Night).mp3,Lionel Richie,All Night Long (All Night),"Well, my friends the time has come To raise the roof and have some fun Throw away the work to be done Let the music play on (play on, play on) Everybody sing, everybody dance Lose yourself in wild romance  We're going to party Karamu, fiesta, forever <sup>1</sup> Come on and sing along We're going to party Karamu, fiesta, forever Come on and sing along  All night long (all night) All night (all night) All night long (all night) All night (all night) All night long (all night) All night (all night) All night long (All night, all night)  People dancing all in the street See the rhythm all in their feet Life is good, wild and sweet Let the music play on (play on, play on) Feel it in your heart and feel it in your soul Let the music take control  We're going to party Liming, fiesta, forever Come on and sing along We're going to party Liming, fiesta, forever Come on and sing my song  All night long (all night) Oh (all night) All night long (All night, all night) All night long (all night) Yeah (all night) All night long (all night) Ah, yeah (all night)  Once you get started, you can't sit down Come join the fun it's a merry-go-round Everyone's dancing their troubles away Come join our party, see how we play  Tambo liteh sette mo-jah! Yo! Jambo jambo! Way to party, oh we goin' Oh jambali Tambo liteh sette mo-jah! Yo! Jambo jambo!  Oh, oh, oh, oh, yes We're gonna have a party, yeah All night long (all night) All night (all night) All night long (all night) Yeah (all night) All night long (all night) All night (all night) All night long (all night) Woah (all night)  We're going to party Karamu, fiesta, forever Come on and sing along We're going to party Karamu, fiesta, forever Come on and sing my song  All night long (all night) All night (all night) All night long (all night) All night (all night) All night long (all night) All night (all night) All night long (All night, all night)  All night (all night) All night (all night) All night (all night) All night (all night)  All night (all night) All night (all night) All night (all night) All night (all night)  Everyone you meet, they're jamming in the street All night long, yeah, I said Everyone you meet, they're jamming in the street All night long, feel good, feel good  (All night, all night) (All night, all night) (All night, all night) (All night, all night) (All night, all night) (All night, all night) (All night, all night) (All night, all night)"
happy_all/Angel Eyes.mp3,Brisk & Ham,Angel Eyes,"VOX 1 Ah yeah, uh uh  Last night as I lay dreaming The strangest kind of feeling Revealed this secret meaning And now I know  I've never ever been to paradise I've never ever seen no angel's eyes I'll never ever let this magic die No matter where you are You are my lucky star  VOX 2 I want everyone on the dance floor, now  VOX 3 Ladies and gentlemen, I'm your DJ We're gonna start with a kick (Indistinguishable) Get ready to explode Feel the bass Lose control Ladies and gentlemen, here we go  VOX 1  VOX 2  La la la la la (VOX 1)  VOX 1  VOX 4 Here we go I'm your DJ"
happy_all/Are You Ready to Fly.mp3,Dune,Are You Ready To Fly ,Are you ready to fly Can you leave the world behind Baby baby  Are you ready to fly Together we reach for the sky Are you ready to fly
happy_all/Automatic (Raufast's Dark Disco Mix).mp3,Dead Disco,Automatic (Raufast's Dark Disc,"You've got a problem with your life You got me lyin' for you You've got problems, no disguise You got me cryin' for you You tell me you can't sleep But I just can't seem to get it through your wantin' me  And I don't like what's on the radio and No I don't like singin' the songs that you know Now that, I'm sure And I don't like the color of my hair and No I don't like the selfish way that you share It's so unfair It's unfair  You've got a lot of things to learn You just can't let it go and You've got to give it in return You just can't let it go  You see me, it's symptomatic You touch me, it's automatic You see me, it's symptomatic You touch me, it's automatic  You've got a problem with your life You got me lyin' for you You've got a problem with compromise You got me tryin' to lose  You tell me you can't sleep But I just can't seem to get it through your wantin' me And I don't like what's on the radio and No I don't like singin' the songs that you know Now that, I'm sure And I don't like the color of my hair and No I don't like the selfish way that you share It's so unfair It's unfair  You've got a lot of things to learn You just can't let it go and You've got to give it in return You just can't let it go  You see me, it's symptomatic You touch me, it's automatic You see me, it's symptomatic You touch me, it's automatic"
happy_all/Back Some Day.mp3,Blue,Back Some Day,"When you're alone I want you to know I'll be back some day  When you're alone I want you to know I'll be back some day  It's time for me to have to go Away for so long To make our own paradise But dreams don't come easy you've gotta believe me You know this deep inside  But it's not long now Till I'm on my way I keep wishing tomorrow was yesterday You're my everything That won't disappear Girl you've got nothing to fear  If you're alone, I want you to know I'll be back someday Don't you ever let go Baby, hold tight through the cold lonely night Just wait for me till I get home When you're on your own I want you to know I'll be there for you, I could never let go I realise that you want me to stay But hold on I'll be back someday, Be back someday, someday.  When I return, I wanna see This beautiful baby who's still loving me With tears in her eyes but a smile on her face Impatiently we'll embrace  But it's not long now Till I'm on my way I keep praying tomorrow was yesterday You're my everything that won't disappear Girl you've got nothing to fear  If you're alone, I want you to know I'll be back someday Don't you ever let go Baby, hold tight through the cold lonely night Just wait for me till I get home When you're on your own I want you to know I'll be there for you, I could never let go I realise that you want me to stay But hold on I'll be back someday.  And when I go, I'll be loving you still Baby you will never know, just how lonely I'll feel You know I really gotta go, but I wish I could stay Hold on, I'll be back, I'll be back  If you're alone, I want you to know I'll be back someday Don't you ever let go Baby, hold tight through the cold lonely night Just wait for me till I get home When you're on your own I want you to know I'll be there for you, I could never let go I realise that you want me to stay But hold on I'll be back someday"
happy_all/Be Gentle With Me.mp3,The Boy Least Likely To,Be Gentle With Me,"Staring up into the solar system, All the stars are fixed up in the sky. I just want to sparkle for a moment Before I just fizzle out and die. I'm happy because I'm stupid. Scared of spiders, scared of flying. If I wasn't so happy, I wouldn't be so scared of dying. So just be gentle with me (I'm not as young as I was) And I'll be gentle with you I'm not as brave as I thought 'Cause my heart gets broken so easily. So just be gentle, be gentle with me. Wide awake, waiting like a target Listening for things I cannot see. Insects flutter up against my window. I don't like the way they look at me I guess I've always needed To be needed by someone. It's a comforting feeling Being under someone's thumb. So just be gentle with me (And if I am ever mean) And I'll be gentle with you I never mean to be mean 'Cause I want to pick peaches off of a cherry tree. Just be gentle, be gentle, be gentle, Be gentle with me. So just be gentle with me Trouble is sometimes And I'll be gentle with you I just can't switch myself off When I want to so I never do Because I'm mental, be gentle, be gentle, Just be gentle, be gentle, be gentle And I'll be gentle, be gentle, be gentle, be gentle with you."
happy_all/Be Happy.mp3,Mary J. Blige,Be Happy,"How can I love somebody else If I can't love myself enough To know when it's time Time to let go  Sing  All I really want Is to be happy And to find a love that's mine It would be so sweet  I ask for a sign &gt;From a sweet Lord above I know the answer is in front of me But when you think you're in love You only see what you wanna see And all I see is me for you And you for me  Oh, I can not hide the way I feel inside I don't know why but every day I wanna cry If I gave you one more try To these rules will you abide And if I mean anything to you Would it make everything all right  All I really want Is to be happy And to find a love that's mine It would be so sweet  Life is too short To be tryin' to play some games Take some time and you think about If it's really worth losing me Why must it be this way Why do you have to play With my mind all the time  Sing Ooh just help me sing it"
happy_all/Beetlebum.mp3,Blur,Beetlebum,"Beetlebum, what you done She's a gun, now what you done, beetlebum Get nothing done, you beetlebum Just get numb, now what you done, beetlebum  And when she lets me slip away She turns me on and all my violence gone Nothing is wrong, I just slip away and I am gone Nothing is wrong, she turns me on I just slip away and I am gone  Beetlebum, because you're young She's a gun, now what you done, beetlebum She'll suck your thumb, she'll make you come 'Cause she's your gun, now what you done, beetlebum  And when she lets me slip away She turns me on and all my violence gone Nothing is wrong, I just slip away and I am gone There's nothing wrong, she turns me on I just slip away and I am  He's on, he's on, he's on it He's on, he's on, he's on it He's on, he's on, he's on it He's on, he's on, he's on it He's on, he's on, he's on it He's on, he's on, he's on it He's on, he's on, he's on it He's on, he's on, he's on it"
happy_all/Beyond Belief.mp3,Elvis Costello,Beyond Belief,"History repeats the old conceits The glib replies, the same defeats Keep your finger on important issues With crocodile tears and a pocketful of tissues  I'm just an oil slick In a windup world with a nervous tick In a very fashionable hovel  I hang around dying to be tortured You'll never be alone in the bone orchard This battle with the bottle is nothing so novel  So in this almost empty gin palace Through a two-way looking glass You see your Alice  You know she has no sense For all your jealousy In a sense she still smiles very sweetly  Charged with insults and flattery Her body moves with malice Do you have to be so cruel to be callous?  And now you find you fit this identikit completely You say you have no secrets Then leave discreetly  I might make it California's fault Be locked in Geneva's deepest vault Just like the canals of Mars and the great barrier reef I come to you beyond belief  My hands were clammy and cunning She's been suitably stunning But I know there's not a hope in Hades  All the laddies cat call and wolf whistle So-called gentlemen and ladies Dogfight like rose and thistle  I've got a feeling I'm going to get a lot of grief Once this seemed so appealing Now I am beyond belief  I've got a feeling I'm going to get a lot of grief Once this seemed so appealing Now I am beyond belief  I've got a feeling I'm going to get a lot of grief Once this seemed so appealing Now I am beyond belief  I've got a feeling"
happy_all/Big Girl (You Are Beautiful).mp3,MIKA,Big Girl (You Are Beautiful),"Big girl, you are beautiful  Walks into the room Feels like a big balloon I said, ""Hey girls, you are beautiful"" Diet Coke and a pizza, please Diet Coke, I'm on my knees Screaming ""Big girls, you are beautiful""  You take your skinny girl Feel like I'm gonna die 'Cause a real woman Needs a real man, here's why  You take your girl And multiply her by four Now a whole lotta woman Needs a whole lot more  Get yourself to the Butterfly Lounge Find yourself a big lady Big boy, come on around And there we're gonna do baby  No need to fantasize Since I was in my braces A watering hole With the girls around And curves in all the right places  Big girls, you are beautiful Big girls, you are beautiful Big girls, you are beautiful Big girls, you are beautiful  Walks into the room Feels like a big balloon I said, ""Hey girls, you are beautiful"" Diet Coke and a pizza, please Diet Coke, I'm on my knees Screaming ""Big girls, you are beautiful""  You take your girl And multiply her by four Now a whole lotta woman  Needs a whole lot more  Get yourself to the Butterfly Lounge Find yourself a big lady Big boy, come on around And there we're gonna do baby  No need to fantasize Since I was in my braces A watering hole With the girls around And curves in all the right places  Big girls, you are beautiful Big girls, you are beautiful Big girls, you are beautiful Big girls, you are beautiful  Get yourself to the Butterfly Lounge Find yourself a big lady Big boy, come on around And there we're gonna do baby  No need to fantasize Since I was in my braces A watering hole With the girls around And curves in all the right places  Big girls, you are beautiful Big girls, you are beautiful Big girls, you are beautiful Big girls, you are beautiful Oh, you are beautiful  Get yourself to the Butterfly Lounge (Big girl, you are beautiful) Find yourself a big lady Big boy, come on around (Big girl, you are beautiful) And there we're gonna do baby  No need to fantasize (Big girl, you are beautiful) Since I was in my braces A watering hole (Big girl, you are beautiful) With the girls around And curves in all the right places  Big girls, you are beautiful Big girls, you are beautiful Big girls, you are beautiful Big girls, you are beautiful Oh, you are beautiful  Get yourself to the Butterfly Lounge (Big girl, you are beautiful) Find yourself a big lady Big boy, come on 'round (Big girl, you are beautiful) And they'll be calling you baby  No need to fantasize (Big girl, you are beautiful) Since I was in my braces A watering hole (Big girl, you are beautiful) With the girls around And curves in all the right places  Big girl, you are beautiful Big girl, you are beautiful Big girl, you are beautiful Big girl, you are beautiful Big girl, you are beautiful"
