tid,mxm_tid,artist_name_mxm,title_mxm
TRMWFBU128F14933ED,5828070,Nortec Collective,Babel
TRMWFVH128F14A06D9,6288330,Oscar Pettiford,All the Things You Are
TRMWFKH128EF3437B4,5454740,The Rapture,First Gear
TRMWFLQ128F92EEBEB,6363416,Friday Bridge,The End of the Affair
TRMWFXT12903D00143,9695084,Adriana Evans,Sooner or Later
TRMWFYR128F4264F3B,682843,Joan Jett and the Blackhearts,Back It Up
TRMWFKL128F9355C3D,4169544,SynSUN,Vampiria
TRMWFKG128F934D677,8748049,Nickodemus,Didibina
TRMWFKC128F427C38A,3362918,Jamie O'Neal,When Did You Know
TRMWFRZ128F42690A3,1149404,Aerosmith,Joanie's Butterfly
TRMWFKW128F92EC300,5349777,George Jones,Accidentally on Purpose
TRMWFUB128F423BB6B,678769,Rosana,Descubriendote
TRMWFCI128F4266AF7,4654551,Steve Tyrell,The Christmas Song
TRMWFDM128F92EB70C,1124849,Edguy,The Kingdom
TRMWFBD128F42704BE,936652,The (International) Noise Conspiracy,I Swear If You Do
TRMWFHT128F42584D5,5375019,Audion,Just a Man (Ellen Allien version)
TRMWFRY128F92E66BA,2480385,Weepers Circus,Adieu la piste
TRMWFPK128F42766A3,3604460,Bonnie Tyler,It's a Heartache
TRMWFBJ128F92F8CF0,1349386,David Lanz,Vesuvius
TRMWFEG128F422B274,4156419,Painbastard,Common Wealth
TRMWFFT128F429D131,6477159,The Box Tops,Lost
TRMWFVA128F4294FF8,3802561,Giorgia,Strano il mio destino
TRMWFFD12903CE86BB,4494816,Ester Drang,White Lies
TRMWFYE12903CA079C,8706611,Cornershop,Judy Sucks a Lemon for Breakfast
TRMWFMZ128EF34DE35,4424382,Head East,Sands of Time
TRMWFEG12903CE5893,657775,Prana,Boundless
TRMWFMD128F149BCD7,633694,Lucky Dube,Together As One
TRMWFCY12903CB60CF,3124414,Der Plan,Denn alles war nur ein Trick
TRMWFCA128F425EB8C,6774810,Mudvayne,King of Pain
TRMWFVZ12903CA6109,11154746,Ludov,Mecanismo
TRMWFDS128F42AFEF2,6728423,Shadowfax,Road to Hanna
TRMWFVH128F933C106,9683439,Brandon Heath,The Night Before Christmas
TRMWFNI12903CA8DEF,3247190,Lawrence Welk,Three O'Clock in the Morning
TRMWFPV128F42A9747,4268675,Trijntje Oosterhuis,See You as I Do
TRMWFGX12903CA734A,2912767,Richie Rich,Straight Mail (feat. B-Legit)
TRMWFDF128F934C76E,7774933,Desmond Dekker & The Aces,It Mek
TRMWFZV12903CAA61A,6874452,Chixdiggit!,Shadowy Bangers From a Shadowy Duplex
TRMWFNQ128F1477C17,6940013,Allen Toussaint,Optimism Blues
TRMWFEV12903CEDC6A,630085,Brian Keane,Sail Away Ladies
TRMWFJK128F92F9EE1,5231620,Epic Soundtracks,Roll the Stone
TRMWFIO128F930F30F,5647974,Transbeauce,Utc
TRMWFIN128F42303D5,1982488,Ismo Alanko,Kun rakkaus on rikki
TRMWQAS128F42201D8,7961760,Agent Alvin,On the Rise (Vocals by Spikey Tee)
TRMWQWJ128F425A43C,738802,Annie Lennox,Why
TRMWQCW128F424881F,2133276,Ismo Alanko Säätiö,Maailmanparantaja
TRMWQCG128F9309002,629700,Tshala Muana,Nasi-Nabali
TRMWQEK128F4230686,7653988,Queen Latifah,"Big, Blonde and Beautiful"
TRMWQPQ128F92EFD97,7950430,Dead or American,Plastic Fruit For a Starving Nation
TRMWQWR128F426025E,686631,Ozzy Osbourne,I Don't Know
TRMWQYE128F92F9361,8253812,Grave Digger,My Blood Will Live Forever
TRMWQMR128F9305D67,8465916,Martin Stenmarck,Som en sten
TRMWQRG128F148696B,5494036,Saosin,Sleepers
TRMWQNC128F42A680F,4032857,Diego el Cigala,Cadencia inesperada
TRMWQFO128F42824B0,4065816,The Raveonettes,Somewhere in Texas
TRMWQYD128F426639B,632526,Alvin Youngblood Hart,Pony Blues
TRMWQVK128F1495FAB,2297222,Hellbillies,Gamle Bry'n
TRMWQRB128F92CCD72,7616485,Steve Lawrence,Party Doll
TRMWQUX12903CD7496,2297592,Electric Universe,From the Heart
TRMWQIK128F9304711,6568613,Nucleus Roots,Educate to Emancipate
TRMWQVF128F4255654,1203746,Jon Anderson,Heart of the Matter
TRMWQJO12903CEEF0B,6951744,Trilogy,Not Love
TRMWQUC128F92E592A,7907815,Anggun,Plus forte (feat. Big Ali)
TRMWQWU128F149E76B,4380334,Dionne Warwick,Don't Burn the Bridge
TRMWQBZ12903CC6AEF,9506769,Hixxy & Technikore,Re-Loaded
TRMWQYG128F427AE95,12343881,Los Patita De Perro,Ponpín
TRMWQSU128F148E235,7871726,Jo-El Sonnier,Jolie Fille
TRMWQAN128F426BC2E,676615,Jean-Louis Aubert,Tel est l'amour
TRMWQKM128F4222E2D,8718779,The Bobby Fuller Four,I Fought the Law
TRMWQLP128F42366BB,9669437,Corenell,Keep on Jumping
TRMWQDD128F426505B,2136380,David Poe,Wear Your Best
TRMWQPE128F425B977,1302605,Rondellus,Post murum somnii (Behind the Wall of Sleep)
TRMWQJN128F92F3BD5,7087464,DJ Ogi,Adriatic
TRMWQCJ128F42430A8,7923699,Cuba Club,I'm Only Shooting Love
TRMWQDD12903CB4157,5839447,220 Volt,Prisoner of War
TRMWQUE128F4272D28,6380198,Marvin Hamlisch,I Could Get You in JJ (reprise)
TRMWQNL128F4270732,1062588,The Chambers Brothers,All Strung Out Over You
TRMWQEH12903CFB38B,7566261,La Barranca,Tal vez ni Dios
TRMWQGB128F4262BE4,4658091,Frank Martiniq,Daddy-Longlegs
TRMWQCV128F92F7272,5027025,QPE,Uptown
TRMWQCQ128F4266995,1683313,Colin James,Leading Me On
TRMWQXY128F42761EE,1028322,The Reunion Show,Too Much
TRMWQGD128F934262F,906750,Nappy Roots,My Ride
TRMWQCK128F427D389,4199371,Kasia Kowalska,Zbyt mało wiesz
TRMWZCN128F9306FE1,715019,Plaid,Headspin
TRMWZHE128F4292290,1049570,Flowing Tears,Merlin
TRMWZMT12903CF3126,7609723,Rafa Pons,Hotel y domicilio
TRMWZWP12903D0D950,2803577,Children on Stun,Style Police
TRMWZTZ12903CE3525,2533622,Simon Bonney,Blue Eyes Crying in the Rain
TRMWZVX12903CE4EE3,1820437,The Troggs,Wild Thing
TRMWZOG128F145F9EF,1068950,Disturbing Tha Peace,Big Chain Records (skit)
TRMWZEG128F14739C3,1089174,Tom Verlaine,Kingdom Come
TRMWZPY128F934708A,4220387,Víctor García,Loco Por Ti
TRMWZSW128F92FB65E,8024602,The Derailers,Sam's Place
TRMWZCI128F933097B,1172759,Aphrodite,Interlude - London Massive
TRMWZFY128F930819D,6033962,Eldar,What Is This Thing Called Love
TRMWZBV128F4280DA9,4795677,William Lee Ellis,Honey Take Your Time
TRMWZVF128F933BAB1,5567781,Soklak,14h00 du mat'
TRMWZVZ128F4267A3D,3676083,Dirty Wormz,Turn It Up
TRMWZIL12903CE7797,2999791,Jane Siberry,The Lobby
TRMWZDX128F427F1B7,7134567,The Orchids,Prayers to St. Jude
TRMWZUQ128F934B40C,3484217,Fragments of Unbecoming,Lour Pulse
TRMWZNP128F931E7B8,7176520,Taylor Deupree,Shell Shell Bye
TRMWZSP12903CC964A,1364026,Melissa Ferrick,Wonder Why
TRMWZTP12903D07630,8500101,So Many Dynamos,New Bones
TRMWZZA128F92C2C6A,2999748,Tramaine Hawkins,Lord I Try
TRMWZUE128F424F9F7,9077564,The Monas,Perdón
TRMWZLS128F42503CA,7792442,will.i.am,She's a Star
